PassengerId,Survived_pred,Survived_prob
892,0,0.1239049821775771
893,1,0.5652452935133166
894,0,0.25764955034687015
895,0,0.08962802214862624
896,1,0.5648932500712998
897,0,0.08961558896990081
898,1,0.651197544388426
899,0,0.19380814730964788
900,1,0.6957257973572915
901,0,0.08928626282939076
902,0,0.08964497135195477
903,0,0.37135729514947435
904,1,0.8847876886527498
905,0,0.1939351648995957
906,1,0.8853688793660917
907,1,0.8480923608703922
908,0,0.25751161481113183
909,0,0.14764590023403457
910,1,0.5651837114561191
911,1,0.6957260382238726
912,1,0.5072904453599092
913,0,0.08974948927710295
914,1,0.8861772551574357
915,1,0.5071564273542571
916,1,0.9278677981312485
917,0,0.08949906902802561
918,1,0.9314179843978891
919,0,0.14764590023403457
920,0,0.3710727414013329
921,0,0.14715379241475632
922,0,0.1939351648995957
923,0,0.1937023475968814
924,1,0.5643413341036291
925,1,0.5641498327166871
926,1,0.5074021713734105
927,0,0.14764575704337904
928,1,0.5651753894021516
929,1,0.5651346108067921
930,0,0.08960951109291045
931,0,0.08857628374043576
932,0,0.1474349311790272
933,0,0.3713225115662507
934,0,0.08964598393005882
935,1,0.7611680923630738
936,1,0.8856056934803687
937,0,0.0896443257835243
938,1,0.5093013913813261
939,0,0.12390731130249008
940,1,0.931169887679995
941,1,0.5646526910080968
942,0,0.36920955613649853
943,0,0.2979542392429948
944,1,0.7606752543981896
945,1,0.8797017390443258
946,0,0.29792330501932457
947,0,0.12328007494728477
948,0,0.08964497135195477
949,0,0.08965040578933134
950,0,0.08946375349760197
951,1,0.9278677981312485
952,0,0.08964497135195477
953,0,0.1944650852625355
954,0,0.0896481948351166
955,1,0.6511916493910562
956,0,0.4935443607041676
957,1,0.7607738777274264
958,1,0.6511821606864373
959,0,0.3703206862356924
960,1,0.5093800969551189
961,1,0.8797017390443258
962,1,0.6511901110229618
963,0,0.08964497135195477
964,1,0.5651837114561191
965,1,0.5094353903048812
966,1,0.9287848279134312
967,0,0.49698966757048285
968,0,0.08964156226741099
969,1,0.8863406516322577
970,0,0.19448630490683658
971,1,0.6511901110229618
972,0,0.1473726561963314
973,0,0.35906218933670414
974,0,0.37135729514947435
975,0,0.08964497135195477
976,0,0.2575966602902263
977,0,0.14739960496393192
978,1,0.6511821606864373
979,1,0.5651753894021516
980,1,0.6511901110229618
981,0,0.1940622456958899
982,1,0.5647858762650563
983,0,0.08964764210424372
984,1,0.8856209028180579
985,0,0.08964156226741099
986,1,0.5095518935224456
987,0,0.08964718223449893
988,1,0.8848820109214748
989,0,0.0896443257835243
990,1,0.5651884250511889
991,0,0.08964156226741099
992,1,0.9315310313510038
993,0,0.1939351648995957
994,0,0.12390731130249008
995,0,0.08964764210424372
996,1,0.6956519552235496
997,0,0.08932206608644569
998,0,0.12390522920419503
999,0,0.12390731130249008
1000,0,0.08962691691421344
1001,0,0.19448630490683658
1002,0,0.2979535308914906
1003,1,0.6511883142050384
1004,1,0.9319404815393177
1005,1,0.6512188287589639
1006,1,0.8808785135405371
1007,0,0.14739960496393192
1008,0,0.14767275051099002
1009,1,0.5645994142915096
1010,1,0.5062177250881282
1011,1,0.760527267162403
1012,1,0.7610326313811127
1013,0,0.12390731130249008
1014,1,0.9314911357807999
1015,0,0.089659250097777
1016,0,0.12390731130249008
1017,1,0.5646393719688731
1018,0,0.08964718223449893
1019,1,0.6502357173219997
1020,0,0.19448630490683658
1021,0,0.08964156226741099
1022,0,0.08964156226741099
1023,1,0.5093826358368749
1024,1,0.5640154905637268
1025,0,0.14767275051099002
1026,0,0.08964497135195477
1027,0,0.08964589107312204
1028,0,0.14764590023403457
1029,0,0.19448630490683658
1030,1,0.5651753894021516
1031,0,0.08878637480373262
1032,1,0.5625871377752987
1033,1,0.8828604931566995
1034,0,0.4935443607041676
1035,0,0.1939351648995957
1036,0,0.3713225115662507
1037,0,0.08942183262666151
1038,0,0.36972312444617245
1039,0,0.08964156226741099
1040,0,0.3713225115662507
1041,0,0.1939351648995957
1042,1,0.9310505653800665
1043,0,0.14762303209594857
1044,0,0.0895000801201241
1045,1,0.5649001883740129
1046,0,0.0891269577977359
1047,0,0.08965261679270395
1048,1,0.8808785135405371
1049,1,0.5651884250511889
1050,0,0.3713225115662507
1051,1,0.5647942000333642
1052,1,0.6511911386531981
1053,0,0.1473726561963314
1054,1,0.7611434670134958
1055,0,0.08966477818998644
1056,0,0.19448630490683658
1057,1,0.564244753190857
1058,1,0.5078933641783948
1059,0,0.08906127456160796
1060,1,0.9320084675693193
1061,1,0.5651146372955915
1062,0,0.08965261679270395
1063,0,0.14764590023403457
1064,0,0.08951231559242537
1065,0,0.14764575704337904
1066,0,0.0891269577977359
1067,1,0.75988526492927
1068,1,0.7599964648972851
1069,1,0.5075584714375116
1070,1,0.75988526492927
